username,rating,comment,sp
t*****9,5,"Bạn nào nghiện mua hàng online như mình thì nên cài App CASHBAG để được hoàn tiền mua sắm nhé!
Nhập mã giới thiệu FCSFQMB, bạn sẽ nhận ngay 10k vào tài khoản. Tiền này bạn có thể mua hàng online hoặc rút về tài khoản ngân hàng đó.
Trước giờ mua online nhiều lắm luôn mà nay mới biết app này :(((",[HCM] NESCAFE Café Cà phê sữa đá 200gam/hộp (10 gói x 20g/gói)
l*****5,5,Hfwdbiffjoyesgnoydchjtecnkuedhkuewcjiyrgjutfhutfhutghh,[HCM] NESCAFE Café Cà phê sữa đá 200gam/hộp (10 gói x 20g/gói)
nguyennguyenchon123,5,"Chất lượng sản phẩm ngon tuyệt vời, đóng gói sản phẩm chắc chăn và đẹp mắt, shop phục vụ nhiệt tình, giá tiền sản phẩm vừa phải, thời gian giao hàng đúng theo kế hoạch định ra, giao đúng hẹn",[HCM] NESCAFE Café Cà phê sữa đá 200gam/hộp (10 gói x 20g/gói)
truyen0101,5,"Chất lượng sản phẩm tuyệt vời, đóng gói sản phẩm chắc chắn và đẹp mắt, shop phục vụ tận tinh, sản phẩm phù hợp giá tiền, thời gian giao hàng đúng theo kế hoạch và đúng hẹn",[HCM] NESCAFE Café Cà phê sữa đá 200gam/hộp (10 gói x 20g/gói)
buinamdinh78,5,"Giao hàng nhanh, nhân viên giao hàng thân thiên vui vẻ, cà phê thơm, đóng gói cẩn thận, chắc chắn",[HCM] NESCAFE Café Cà phê sữa đá 200gam/hộp (10 gói x 20g/gói)
k*****9,5,"Áp mã giảm giá Airpay cho đơn 0đ , shop đóng gói đẹp và giao nhanh hàng đến tay khách hàng , rất cảm ơn. 😁😁😁",[HCM] NESCAFE Café Cà phê sữa đá 200gam/hộp (10 gói x 20g/gói)
m*****c,5,"Quà tặng từ game Nông trại Shopee 🙆 chăm chỉ tưới 1 tuần, giao nhanh trong 24h😘 cảm ơn Shopee nhé ❤❤❤",[HCM] NESCAFE Café Cà phê sữa đá 200gam/hộp (10 gói x 20g/gói)
r*****1,5,"Sản phẩm ổn, phù hợp với giá tiền , đống gói sản phẩm chắc chắn, giao hàng nhanh chống, sẽ ủng hộ lần sau",[HCM] NESCAFE Café Cà phê sữa đá 200gam/hộp (10 gói x 20g/gói)
tly_ngo,5,"Kết quả cày bừa chăm bẫm. Cảm ơn đại ca shopee, cảm ơn những người nông dân tốt bụng tưới nước giúp.",[HCM] NESCAFE Café Cà phê sữa đá 200gam/hộp (10 gói x 20g/gói)
d*****7,5,"Sản phẩm ổn , phù hợp giá tiền,giao hàng nhanh,đóng gói sản phẩm chắc chắn,sẽ ủng hộ lần sau",[HCM] NESCAFE Café Cà phê sữa đá 200gam/hộp (10 gói x 20g/gói)
o*****g,5,"Sản phẩm ổn , phù hợp giá tiền,giao hàng nhanh,đóng gói sản phẩm chắc chắn,sẽ ủng hộ lần sau",[HCM] NESCAFE Café Cà phê sữa đá 200gam/hộp (10 gói x 20g/gói)
1*****7,5,Shop tư vấn nhiệt tình. Giao hàng đúng mẫu. Chuẩn bị hàng nhanh. Đóng gói chắc chắn,[HCM] NESCAFE Café Cà phê sữa đá 200gam/hộp (10 gói x 20g/gói)
